row	cfg	pins	component	source	source_exists	ledger_cause	symbols	source_symbols_mentioned
slus/code	2.7.2	0	1	src/slus/code.c	True	small-extern $gp model (.extern sizes)	D_80080B94,D_80080B98,D_800814C8,D_800814E0,D_80081540,D_80081550,D_80081554,D_80081558	D_80080B94,D_80080B98,D_800814C8,D_800814E0,D_80081540,D_80081550,D_80081554,D_80081558
slus/code2	2.8.1	0	1	src/slus/code2.c	True	combined: extern-abs+no:all-fired	D_80080B1B,D_80080B1C,D_800814D0,D_800814E0	D_80080B1B,D_80080B1C,D_800814D0,D_800814E0
slus/konami_runtime_w_80033D44	2.7.2	0	7	src/slus/konami_runtime_w_80033D44.c	True	small-extern $gp model (.extern sizes)	D_8008099C	D_8008099C
slus/konami_runtime_w_80033D54	2.8.1	3	7	src/slus/konami_runtime_w_80033D54.c	True	combined: extern-abs+no:all-fired	D_8008099C	D_8008099C
slus/konami_runtime_w_80035484	2.7.2-cdk	0	10	src/slus/konami_runtime_w_80035484.c	True	small-extern $gp model (.extern sizes)	D_80081440	D_80081440
slus/konami_runtime_w_80035888	2.7.2-cdk	0	11	src/slus/konami_runtime_w_80035888.c	True	small-extern $gp model (.extern sizes)	D_800809B8,D_800809BC	D_800809B8,D_800809BC
slus/konami_runtime_w_80038A10	2.7.2-cdk	0	12	src/slus/konami_runtime_w_80038A10.c	True	small-extern $gp model (.extern sizes)	D_80081448	D_80081448
slus/konami_runtime_w_8003C634	2.7.2-cdk	0	4	src/slus/konami_runtime_w_8003C634.c	True	small-extern $gp model (.extern sizes)	D_80080A6C	D_80080A6C
slus/konami_runtime_w_8003C6F8	2.7.2-cdk	0	13	src/slus/konami_runtime_w_8003C6F8.c	True	small-extern $gp model (.extern sizes)	D_80081460	D_80081460
slus/konami_runtime_w_8003C758	2.7.2-cdk	0	4	src/slus/konami_runtime_w_8003C758.c	True	small-extern $gp model (.extern sizes)	D_80080A6C	D_80080A6C
slus/konami_runtime_w_8003C920	2.7.2-cdk	0	4	src/slus/konami_runtime_w_8003C920.c	True	small-extern $gp model (.extern sizes)	D_80080A6C	D_80080A6C
slus/w_8003CB08	2.7.2-cdk	0	8	src/slus/w_8003CB08.c	True	small-extern $gp model (.extern sizes)	D_80080AA4,D_80080AA6,D_80080AA8,D_80080AAA	D_80080AA4,D_80080AA6,D_80080AA8,D_80080AAA
slus/w_8003CCB0	2.7.2-cdk	9	8	src/slus/w_8003CCB0.c	True	small-extern $gp model (.extern sizes)	D_80080AA4,D_80080AA8,D_80080AAC,D_80080AB0	D_80080AA4,D_80080AA8,D_80080AAC,D_80080AB0
slus/w_8003D92C	2.7.2	5	14	src/slus/w_8003D92C.c	True	small-extern $gp model (.extern sizes)	D_80080ABC,D_80080ABE	D_80080ABC,D_80080ABE
slus/w_8003E34C	2.7.2-cdk	0	1	src/slus/w_8003E34C.c	True	small-extern $gp model (.extern sizes)	D_80080AD0,D_80080AD4,D_80080ADC,D_800814D0	D_80080AD0,D_80080AD4,D_80080ADC,D_800814D0
slus/w_8003E4FC	2.7.2-cdk	0	1	src/slus/w_8003E4FC.c	True	small-extern $gp model (.extern sizes)	D_80080AD4,D_80080ADC	D_80080AD4,D_80080ADC
slus/w_8003E758	2.7.2-cdk -G32 -fno-expensive-optimizations	2	1	src/slus/w_8003E758.c	True	small-extern $gp model (.extern sizes)	D_80080AD0,D_80080AD2,D_80080AD4,D_80080AD8,D_80081450,D_800814CC,D_800814D0,D_800814D4	D_80080AD0,D_80080AD2,D_80080AD4,D_80080AD8,D_80081450,D_800814CC,D_800814D0,D_800814D4
slus/w_8003F2A4	2.6.3 -fno-schedule-insns	0	1	src/slus/w_8003F2A4.c	True	small-extern $gp model (.extern sizes)	D_800814B0,D_800814B4,D_800814D0	D_800814B0,D_800814B4,D_800814D0
slus/w_8003F368	2.7.2	1	1	src/slus/w_8003F368.c	True	small-extern $gp model (.extern sizes)	D_80081450,D_800814D0	D_80081450,D_800814D0
slus/w_8003F5AC	2.7.2-cdk	0	1	src/slus/w_8003F5AC.c	True	small-extern $gp model (.extern sizes)	D_80080AD4	D_80080AD4
slus/w_8003F624	2.7.2	0	1	src/slus/w_8003F624.c	True	small-extern $gp model (.extern sizes)	D_800814D4	D_800814D4
slus/w_80041134	2.8.1	0	1	src/slus/w_80041134.c	True	small-extern $gp model (.extern sizes)	D_800814E0	D_800814E0
slus/w_80041AE4	2.8.1 -G16	0	2	src/slus/w_80041AE4.c	True	combined: extern-abs+no:all-fired	D_800814E8	D_800814E8
slus/w_80041B98	2.7.2-cdk	0	2	src/slus/w_80041B98.c	True	small-extern $gp model (.extern sizes)	D_800814E8	D_800814E8
slus/w_80041BE4	2.7.2-cdk	0	2	src/slus/w_80041BE4.c	True	small-extern $gp model (.extern sizes)	D_800814E8	D_800814E8
slus/w_80041C64	2.8.1	0	2	src/slus/w_80041C64.c	True	combined: extern-abs+no:all-fired	D_800814E8	D_800814E8
slus/w_80043D04	2.8.1 -G16	0	3	src/slus/w_80043D04.c	True	combined: extern-abs+no:all-fired	D_80081500	D_80081500
slus/w_80043DB8	2.7.2-cdk	0	3	src/slus/w_80043DB8.c	True	small-extern $gp model (.extern sizes)	D_80081500	D_80081500
slus/w_80043E04	2.8.1	0	3	src/slus/w_80043E04.c	True	combined: extern-abs+no:all-fired	D_80081500	D_80081500
slus/w_80043E60	2.8.1	0	3	src/slus/w_80043E60.c	True	combined: extern-abs+no:all-fired	D_80081500	D_80081500
slus/w_8004437C	2.7.2-cdk	0	5	src/slus/w_8004437C.c	True	small-extern $gp model (.extern sizes)	D_80080AF3,D_80080AFC	D_80080AF3,D_80080AFC
slus/w_8004450C	2.7.2	0	5	src/slus/w_8004450C.c	True	small-extern $gp model (.extern sizes)	D_80080AF3	D_80080AF3
slus/w_80044618	2.7.2	0	5	src/slus/w_80044618.c	True	small-extern $gp model (.extern sizes)	D_80080AFC	D_80080AFC
slus/w_80044698	2.7.2	0	15	src/slus/w_80044698.c	True	small-extern $gp model (.extern sizes)	D_80080B00	D_80080B00
slus/w_800448BC	2.7.2	0	16	src/slus/w_800448BC.c	True	small-extern $gp model (.extern sizes)	D_80081508	D_80081508
slus/w_80045340	2.8.1	0	9	src/slus/w_80045340.c	True	combined: extern-abs+no:all-fired	D_80081510	D_80081510
slus/w_800453E0	2.7.2-cdk	5	9	src/slus/w_800453E0.c	True	small-extern $gp model (.extern sizes)	D_80081510	D_80081510
