symbol	address	rows	segment_start	segment_kind	asset_object	other_source_use_files	source_use_sites	source_extern_declarations
D_8008099C	0x8008099C	slus/konami_runtime_w_80033D44,slus/konami_runtime_w_80033D54	0x3E018	bin	build_slus/build/assets/3E018.o	src/slus/konami_runtime_w_8003C0C8.c	src/slus/konami_runtime_w_80033D44.c:20,src/slus/konami_runtime_w_80033D54.c:74,src/slus/konami_runtime_w_8003C0C8.c:18	src/slus/konami_runtime_w_80033D44.c:5,src/slus/konami_runtime_w_80033D54.c:18,src/slus/konami_runtime_w_80034EF8.c:5,src/slus/konami_runtime_w_8003C0C8.c:10
D_800809B8	0x800809B8	slus/konami_runtime_w_80035888	0x3E018	bin	build_slus/build/assets/3E018.o		src/slus/konami_runtime_w_80035888.c:109	src/slus/konami_runtime_w_80035888.c:73
D_800809BC	0x800809BC	slus/konami_runtime_w_80035888	0x3E018	bin	build_slus/build/assets/3E018.o		src/slus/konami_runtime_w_80035888.c:112	src/slus/konami_runtime_w_80035888.c:74
D_80080A6C	0x80080A6C	slus/konami_runtime_w_8003C634,slus/konami_runtime_w_8003C758,slus/konami_runtime_w_8003C920	0x54240	bin	build_slus/build/assets/54240.o		src/slus/konami_runtime_w_8003C634.c:15,src/slus/konami_runtime_w_8003C634.c:19,src/slus/konami_runtime_w_8003C758.c:23,src/slus/konami_runtime_w_8003C758.c:24,src/slus/konami_runtime_w_8003C920.c:23,src/slus/konami_runtime_w_8003C920.c:27	src/slus/konami_runtime_w_8003C634.c:5,src/slus/konami_runtime_w_8003C758.c:6,src/slus/konami_runtime_w_8003C920.c:11
D_80080AA4	0x80080AA4	slus/w_8003CB08,slus/w_8003CCB0	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8003CB08.c:86,src/slus/w_8003CB08.c:94,src/slus/w_8003CB08.c:111,src/slus/w_8003CCB0.c:198	src/slus/w_8003CB08.c:12,src/slus/w_8003CCB0.c:23
D_80080AA6	0x80080AA6	slus/w_8003CB08	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8003CB08.c:60,src/slus/w_8003CB08.c:61	src/slus/w_8003CB08.c:13
D_80080AA8	0x80080AA8	slus/w_8003CB08,slus/w_8003CCB0	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8003CB08.c:62,src/slus/w_8003CB08.c:107,src/slus/w_8003CB08.c:108,src/slus/w_8003CCB0.c:204	src/slus/w_8003CB08.c:14,src/slus/w_8003CCB0.c:24
D_80080AAA	0x80080AAA	slus/w_8003CB08	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8003CB08.c:42,src/slus/w_8003CB08.c:49	src/slus/w_8003CB08.c:15
D_80080AAC	0x80080AAC	slus/w_8003CCB0	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8003CCB0.c:57,src/slus/w_8003CCB0.c:65	src/slus/w_8003CCB0.c:21
D_80080AB0	0x80080AB0	slus/w_8003CCB0	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8003CCB0.c:73,src/slus/w_8003CCB0.c:90	src/slus/w_8003CCB0.c:22
D_80080ABC	0x80080ABC	slus/w_8003D92C	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8003D92C.c:87,src/slus/w_8003D92C.c:95,src/slus/w_8003D92C.c:102,src/slus/w_8003D92C.c:103,src/slus/w_8003D92C.c:105,src/slus/w_8003D92C.c:110,src/slus/w_8003D92C.c:113,src/slus/w_8003D92C.c:116	src/slus/w_8003D92C.c:34
D_80080ABE	0x80080ABE	slus/w_8003D92C	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8003D92C.c:75,src/slus/w_8003D92C.c:82,src/slus/w_8003D92C.c:86,src/slus/w_8003D92C.c:94,src/slus/w_8003D92C.c:98,src/slus/w_8003D92C.c:115	src/slus/w_8003D92C.c:35
D_80080AD0	0x80080AD0	slus/w_8003E34C,slus/w_8003E758	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8003E34C.c:28,src/slus/w_8003E758.c:384	src/slus/w_8003E34C.c:13,src/slus/w_8003E758.c:46
D_80080AD2	0x80080AD2	slus/w_8003E758	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8003E758.c:388,src/slus/w_8003E758.c:389	src/slus/w_8003E758.c:47
D_80080AD4	0x80080AD4	slus/w_8003E34C,slus/w_8003E4FC,slus/w_8003E758,slus/w_8003F5AC	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8003E34C.c:30,src/slus/w_8003E4FC.c:123,src/slus/w_8003E758.c:470,src/slus/w_8003F5AC.c:12	src/slus/w_8003E34C.c:14,src/slus/w_8003E4FC.c:12,src/slus/w_8003E758.c:48,src/slus/w_8003F5AC.c:5
D_80080AD8	0x80080AD8	slus/w_8003E758	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8003E758.c:381,src/slus/w_8003E758.c:382,src/slus/w_8003E758.c:383,src/slus/w_8003E758.c:407	src/slus/w_8003E758.c:49
D_80080ADC	0x80080ADC	slus/w_8003E34C,slus/w_8003E4FC	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8003E34C.c:29,src/slus/w_8003E4FC.c:112,src/slus/w_8003E4FC.c:131	src/slus/w_8003E34C.c:15,src/slus/w_8003E4FC.c:13
D_80080AF3	0x80080AF3	slus/w_8004437C,slus/w_8004450C	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8004437C.c:48,src/slus/w_8004450C.c:34,src/slus/w_8004450C.c:45	src/slus/w_8004437C.c:16,src/slus/w_8004450C.c:4
D_80080AFC	0x80080AFC	slus/w_8004437C,slus/w_80044618	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8004437C.c:39,src/slus/w_8004437C.c:43,src/slus/w_8004437C.c:45,src/slus/w_8004437C.c:54,src/slus/w_8004437C.c:57,src/slus/w_8004437C.c:63,src/slus/w_80044618.c:19,src/slus/w_80044618.c:35	src/slus/w_8004437C.c:22,src/slus/w_80044618.c:8
D_80080B00	0x80080B00	slus/w_80044698	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_80044698.c:38,src/slus/w_80044698.c:40,src/slus/w_8004713C.c:33	src/slus/w_80044698.c:8,src/slus/w_8004713C.c:15
D_80080B08	0x80080B08	slus/w_8004713C	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8004713C.c:41	src/slus/w_8004713C.c:13
D_80080B0A	0x80080B0A	slus/w_8004713C	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8004713C.c:47	src/slus/w_8004713C.c:14
D_80080B10	0x80080B10	slus/w_80048660	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_80048660.c:39,src/slus/w_80048660.c:47,src/slus/w_80048660.c:51,src/slus/w_80048660.c:52,src/slus/w_80048660.c:57	src/slus/w_80048660.c:15
D_80080B12	0x80080B12	slus/w_80048660	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_80048660.c:38,src/slus/w_80048660.c:46,src/slus/w_80048660.c:48,src/slus/w_80048660.c:53,src/slus/w_80048660.c:58,src/slus/w_80048660.c:64	src/slus/w_80048660.c:16
D_80080B14	0x80080B14	slus/w_80048660	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_80048660.c:37,src/slus/w_80048660.c:47,src/slus/w_80048660.c:54,src/slus/w_80048660.c:60,src/slus/w_80048660.c:61	src/slus/w_80048660.c:17
D_80080B1B	0x80080B1B	slus/code2	0x54240	bin	build_slus/build/assets/54240.o		src/slus/code2.c:271	src/slus/code2.c:263
D_80080B1C	0x80080B1C	slus/code2	0x54240	bin	build_slus/build/assets/54240.o		src/slus/code2.c:273	src/slus/code2.c:264
D_80080B30	0x80080B30	slus/w_80049F68	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_80049F68.c:90	src/slus/w_80049F68.c:46
D_80080B58	0x80080B58	slus/w_8004D614	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8004D614.c:22	src/slus/w_8004D614.c:8
D_80080B5C	0x80080B5C	slus/w_8004D614	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8004D614.c:23	src/slus/w_8004D614.c:9
D_80080B60	0x80080B60	slus/w_8004D614	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8004D614.c:20	src/slus/w_8004D614.c:10
D_80080B64	0x80080B64	slus/w_8004D614	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_8004D614.c:21	src/slus/w_8004D614.c:11
D_80080B80	0x80080B80	slus/w_800508F0	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_800508F0.c:32	src/slus/w_800508F0.c:19
D_80080B84	0x80080B84	slus/w_800508F0	0x54240	bin	build_slus/build/assets/54240.o		src/slus/w_800508F0.c:24	src/slus/w_800508F0.c:18
D_80080B94	0x80080B94	slus/code	0x54240	bin	build_slus/build/assets/54240.o		src/slus/code.c:944	src/slus/code.c:937
D_80080B98	0x80080B98	slus/code,slus/w_80050DA8,slus/w_80050E20	0x54240	bin	build_slus/build/assets/54240.o		src/slus/code.c:945,src/slus/w_80050DA8.c:26,src/slus/w_80050E20.c:43	src/slus/code.c:938,src/slus/w_80050DA8.c:8,src/slus/w_80050E20.c:31
