# row	container	cfg	asflags	pins	closest_version	diff_words	words	cause	ablations_that_fix	diff_classes
dungeon/func_7FFE7BE8	dungeon	2.8.1	--fill-shadowed-return-delay	0	2.56	3	53	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_7FFEF6A8	dungeon	2.8.1-G0	--fill-shadowed-return-delay	0	2.56	3	80	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_80084084	dungeon	2.8.1-G0 -fno-cse-follow-jumps	--fill-shadowed-return-delay	5	2.67	3	175	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_800881EC	dungeon	2.8.1-G0 -fno-schedule-insns	--fill-shadowed-return-delay	0	2.67	3	41	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_8008A31C	dungeon	2.8.0-G0 -fno-rerun-cse-after-loop	--fill-shadowed-return-delay	5	2.67	3	181	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_8008AAA0	dungeon	2.8.1-G0 -fno-schedule-insns	--fill-shadowed-return-delay	0	2.67	3	38	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_8008B4B0	dungeon	2.8.1 -G0	--fill-shadowed-return-delay	0	2.67	3	520	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_8008D990	dungeon	2.8.0-G0 -fno-cse-follow-jumps	--fill-shadowed-return-delay	2	2.77	3	219	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_8008EE88	dungeon	2.95.2-G0	--fill-shadowed-return-delay	22	2.77	3	181	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_8008F814	dungeon	2.8.1-G0	--fill-shadowed-return-delay	2	2.67	3	316	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_8009069C	dungeon	2.8.1-G0 -fforce-addr	--fill-shadowed-return-delay	0	2.67	3	163	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
