# maspsx behaviour	dependent row
_fold_lo_into_accesses	slus/w_8003E188
_fold_lo_into_accesses	slus/w_8004A700
_fold_lo_into_accesses	slus/w_8004A7D8
_fold_selfinc_la	dungeon/func_80093898
_fold_selfinc_la	dungeon/func_800938EC
_fold_selfinc_la	dungeon/func_81811E30
_fold_selfinc_la	dungeon/func_81811E70
_fold_selfinc_la	dungeon/func_81811EC0
_fold_selfinc_la	dungeon/func_81811F54
_fold_selfinc_la	dungeon/func_819B3414
_fold_selfinc_la	slus/konami_runtime_w_8003B7C8
_fold_selfinc_la	slus/w_8004A6C0
_fold_selfinc_la	town/func_800A1480
_fold_selfinc_la	town/func_800A2244
_fold_selfinc_la	town/func_800C3800
_hoist_zero_arg_before_global_clears	slus/w_8005D7BC
_maybe_unfill_return_delay	dungeon/func_7FFE7BE8
_maybe_unfill_return_delay	dungeon/func_7FFEF6A8
_maybe_unfill_return_delay	dungeon/func_80084084
_maybe_unfill_return_delay	dungeon/func_800881EC
_maybe_unfill_return_delay	dungeon/func_8008A31C
_maybe_unfill_return_delay	dungeon/func_8008AAA0
_maybe_unfill_return_delay	dungeon/func_8008B4B0
_maybe_unfill_return_delay	dungeon/func_8008D990
_maybe_unfill_return_delay	dungeon/func_8008EE88
_maybe_unfill_return_delay	dungeon/func_8008F814
_maybe_unfill_return_delay	dungeon/func_8009069C
_maybe_unfill_return_delay	dungeon/func_80092518
_maybe_unfill_return_delay	dungeon/func_80092B48
_maybe_unfill_return_delay	dungeon/func_80094C70
_maybe_unfill_return_delay	dungeon/func_80094DE0
_maybe_unfill_return_delay	dungeon/func_80095160
_maybe_unfill_return_delay	dungeon/func_8009612C
_maybe_unfill_return_delay	dungeon/func_800969CC
_maybe_unfill_return_delay	dungeon/func_8009AE44
_maybe_unfill_return_delay	dungeon/func_8009E0EC
_maybe_unfill_return_delay	dungeon/func_8009F018
_maybe_unfill_return_delay	dungeon/func_8009F190
_maybe_unfill_return_delay	dungeon/func_800A172C
_maybe_unfill_return_delay	dungeon/func_800A21EC
_maybe_unfill_return_delay	dungeon/func_800A4C0C
_maybe_unfill_return_delay	dungeon/func_800A4DDC
_maybe_unfill_return_delay	dungeon/func_800A5DD8
_maybe_unfill_return_delay	dungeon/func_800AC008
_maybe_unfill_return_delay	dungeon/func_800AC3B0
_maybe_unfill_return_delay	dungeon/func_800AC914
_maybe_unfill_return_delay	dungeon/func_800ADD2C
_maybe_unfill_return_delay	dungeon/func_800B5B84
_maybe_unfill_return_delay	dungeon/func_800B6D74
_maybe_unfill_return_delay	dungeon/func_800B968C
_maybe_unfill_return_delay	dungeon/func_800BB144
_maybe_unfill_return_delay	dungeon/func_800BB400
_maybe_unfill_return_delay	dungeon/func_800BB728
_maybe_unfill_return_delay	dungeon/func_800BFE94
_maybe_unfill_return_delay	dungeon/func_800C379C
_maybe_unfill_return_delay	dungeon/func_800C81B0
_maybe_unfill_return_delay	dungeon/func_800C9858
_maybe_unfill_return_delay	dungeon/func_800CB068
_maybe_unfill_return_delay	dungeon/func_800CFE34
_maybe_unfill_return_delay	dungeon/func_800D1A48
_maybe_unfill_return_delay	dungeon/func_800D2E30
_maybe_unfill_return_delay	dungeon/func_800D3B60
_maybe_unfill_return_delay	dungeon/func_800D53F0
_maybe_unfill_return_delay	dungeon/func_800D6EF0
_maybe_unfill_return_delay	dungeon/func_800D6FC4
_maybe_unfill_return_delay	dungeon/func_80284BEC
_maybe_unfill_return_delay	dungeon/func_80285A70
_maybe_unfill_return_delay	dungeon/func_8028A328
_maybe_unfill_return_delay	dungeon/func_8028A5D8
_maybe_unfill_return_delay	dungeon/func_8028B824
_maybe_unfill_return_delay	dungeon/func_8028BF0C
_maybe_unfill_return_delay	dungeon/func_809755A8
_maybe_unfill_return_delay	dungeon/func_80975CD4
_maybe_unfill_return_delay	dungeon/func_80976218
_maybe_unfill_return_delay	dungeon/func_80976434
_maybe_unfill_return_delay	dungeon/func_80976B7C
_maybe_unfill_return_delay	dungeon/func_80976D48
_maybe_unfill_return_delay	dungeon/func_80976F6C
_maybe_unfill_return_delay	dungeon/func_80977064
_maybe_unfill_return_delay	dungeon/func_80977248
_maybe_unfill_return_delay	dungeon/func_80977A94
_maybe_unfill_return_delay	dungeon/func_80977D88
_maybe_unfill_return_delay	dungeon/func_80977E0C
