id	cfg	splitting	pins	page_pins	page_lit	asm_hi	asm_words	fp	fp_highs	kinds	examples	module	census_recipe	census_splits	mechanism	step4
dungeon/func_80093898	2.7.2	NO	1	1	1	0	0	FP	2	high_in_slot:1,interleaved:1,load_other_reg:1,store_high_base:1	0x80099000,0x80099030	inventory.c	2.7.2-cdk-G0	yes	page_pin	CANDIDATE
dungeon/func_800A1984	2.7.2-G0 -fno-schedule-insns	NO	2	2	2	0	0	FP	2	lo_other_reg:2	0x800A715C,0x800A7164	entity_effects.c	2.7.2-cdk-G0	yes	page_pin	CANDIDATE
dungeon/func_800B8F90	2.7.2-G0	NO	6	4	4	0	0	FP	3	interleaved:2,lo_other_reg:1,load_other_reg:1,shared_high:1,slot_lo:1,store_high_base:2	0x800BE7A0,0x800BE8B0,0x800BE900	item_effects.c	2.7.2-cdk-G0	yes	page_pin	CANDIDATE
dungeon/func_800C4A80	2.7.2-G0 -fno-expensive-optimizations -fno-cse-follow-jumps	NO	19	2	1	0	0	FP	1	interleaved:1,lo_other_reg:1	0x800CA244	trap_actor.c	2.7.2-cdk-G0	yes	page_pin	CANDIDATE
dungeon/func_80283F70	2.7.2-G0 -fno-strength-reduce	NO	2	1	1	0	0	FP	1	lo_other_reg:1	0x80016F70	dungeon_setup.c	2.7.2-cdk-G0	yes	page_pin	CANDIDATE
dungeon/func_808CB16C	2.7.2-G0 -fno-strength-reduce -fno-schedule-insns -fno-rerun-cse-after-loop	NO	3	0	1	0	0	FP	2	interleaved:1,lo_other_reg:1	0x8012361C,0x8012369C	ovl_7f838498.c	2.7.2-cdk-G0	yes	page_literal	CANDIDATE
dungeon/func_8092192C	2.7.2-G0	NO	3	2	1	0	0	FP	1	interleaved:1	0x800F69B8	ovl_7f7b5000.c	2.7.2-cdk-G0	yes	page_pin	CANDIDATE
dungeon/func_809753B0	2.7.2-G0	NO	1	1	1	0	0	FP	1	interleaved:1	0x80170C30	ovl_7f7db800.c	2.8.0-G0	yes	page_pin	CANDIDATE
dungeon/func_809F6D74	2.7.2-G0 -fno-schedule-insns	NO	1	1	1	0	0	FP	1	interleaved:1,load_other_reg:1	0x8017458C	ovl_7f75d800.c	2.7.2-cdk-G0	yes	page_pin	CANDIDATE
dungeon/func_80A4AA14	2.7.2-G0 -fno-schedule-insns	NO	6	1	1	0	0	FP	1	high_in_slot:1	0x8017426C	ovl_7f709800.c	2.8.0-G0	yes	page_pin	CANDIDATE
dungeon/func_80AC5958	2.6.3-G0	NO	1	1	1	0	0	FP	1	interleaved:1	0x801711D8	ovl_7f68b800.c	2.7.2-cdk-G0	yes	page_pin	CANDIDATE
