# row	source	role	module	recipe	functions	exact_versions	best	cause	owner_ablations	fired_whole_unit	gp_externs	compiler_model
slus/code	src/c8_accessors_owned.c	module	accessors_814c8	{"asflags":"","ccflags":"","ccver":"2.7.2"}	func_8003F5D4,func_8003F5E0	2.56,2.67,2.77,2.79,2.81,2.86	2.56	genuine-exact	-	-	-	-
slus/code	src/code.c	remainder	-	{"asflags":"","ccflags":"","ccver":"2.7.2"}	func_8003D56C,func_8003DB4C,func_8003DB6C,func_8003DB94,func_8003E12C,func_8003E140,func_8003F52C,func_8003F534,func_8003F5EC,func_8003F6D4,func_80040044,func_80040418,func_80040F00,func_800422A8,func_800424E0,func_80043FB8,func_80044234,func_800445E0,func_80046398,func_80047714,func_800478B8,func_800479AC,func_80047A44,func_80047AA4,func_80047C60,func_80048374,func_80048568,func_80048590,func_800485B8,func_80048D00,func_80048D20,func_80048D40,func_80048DCC,func_80048DE8,func_80048F8C,func_80049250,func_80049280,func_8004928C,func_80049490,func_800494FC,func_80049944,func_80049984,func_800499DC,func_80049DC8,func_80049DE8,func_80049E6C,func_8004A4C4,func_8004A618,func_8004A638,func_8004A918,func_8004AA34,func_8004AE3C,func_8004AFC8,func_8004B3DC,func_8004B4A8,func_8004B4DC,func_8004B634,func_8004B834,func_8004B8BC,func_8004CBFC,func_8004D064,func_8004D8F0,func_8004D9E0,func_8004DDC4,func_8004E264,func_8004E280,func_8004E57C,func_8004E994,func_8004E99C,func_8004E9C0,func_8004E9E4,func_8004EB30,func_8004EE30,func_8004EE50,func_8004EE70,func_8004F2BC,func_8004F308,func_8004F3D0,func_8004F67C,func_8004F85C,func_8004FC68,func_8004FF00,func_800502E0,func_80050494,func_80050694,func_80050B7C,func_80050F84,func_80050FA8,func_80051500,func_80051528,func_800517AC,func_80051CA4,func_80051F38,func_800530A4,func_80053C3C,func_80053DA8,func_80053DCC,func_80053E14,func_800542A4,func_80054AF0,func_800555FC,func_80055604,func_80055730,func_800557BC,func_80055990,func_80055CEC,func_80055E6C,func_80055E74,func_80055E7C,func_80056D3C,func_80057A48,func_8005848C,func_800584E4,func_800587F8,func_80058A7C,func_80058AA8,func_80058E50,func_80058E64,func_8005A37C,func_8005A39C,func_8005A3A8,func_8005A3D4,func_8005A420,func_8005A4B8,func_8005ACD0,func_8005B300,func_8005B320,func_8005B3D8,func_8005C808,func_8005C88C,func_8005C8EC,func_8005C980,func_8005C988,func_8005C990,func_8005C998,func_8005C9A0,func_8005C9A8,func_8005C9D4,func_8005C9F4,func_8005CA1C,func_8005CA4C,func_8005CA70,func_8005D6D8,func_8005D704,func_8005D798,func_8005DA68,func_8005E4A0,func_8005E78C,func_8005EC0C	-	2.56	_expand_store_to_symbol_in_delay	no:_expand_store_to_symbol_in_delay,no:all-fired,extern-abs	_hoist_delay_luis,_expand_store_to_symbol_in_delay	-	-
slus/code	src/sort_rank_81540_owned.c	module	sort_rank_81540	{"asflags":"","ccflags":"","ccver":"2.7.2-cdk"}	func_8004AE98	2.67,2.77,2.79,2.81,2.86	2.67	genuine-exact	-	-	-	-
slus/code	src/w_80041134_owned.c	module	list_cursor_e0	{"asflags":"","ccflags":"","ccver":"2.8.1"}	func_80041110	2.67,2.77,2.79,2.81,2.86	2.67	genuine-exact	-	-	-	-
slus/code	src/w_8004DCA8_owned.c	module	command_slots_81554	{"asflags":"","ccflags":"","ccver":"2.7.2-cdk"}	func_8004DDB4	2.67,2.77,2.79,2.81,2.86	2.67	genuine-exact	-	_expand_smalldata_la	-	-
slus/code	src/w_8004DCEC_owned.c	module	message_mode_81550	{"asflags":"","ccflags":"","ccver":"2.7.2-cdk"}	func_8004DCE0	2.67,2.77,2.79,2.81,2.86	2.67	genuine-exact	-	_expand_smalldata_la	-	-
slus/code	src/w_80050DA8_owned.c	module	saved_value_b98	{"asflags":"","ccflags":"","ccver":"2.7.2-cdk"}	func_80050CAC	2.67,2.77,2.79,2.81,2.86	2.67	genuine-exact	-	-	-	-
slus/code2	src/b1b_b1c_table_owned.c	module	table_counters_b1b_b1c	{"asflags":"","ccflags":"","ccver":"2.8.1"}	func_80048DA0	2.67,2.77,2.79,2.81,2.86	2.67	genuine-exact	-	-	-	-
slus/code2	src/cd_command_state_owned.c	module	cd_command_state	{"asflags":"","ccflags":"-G32","ccver":"2.7.2-cdk"}	func_8003F240	2.67,2.77,2.79,2.81,2.86	2.67	genuine-exact	-	_expand_smalldata_la	-	-
slus/code2	src/code2.c	remainder	-	{"asflags":"","ccflags":"","ccver":"2.8.1"}	func_8003F540,func_8003F7E4,func_80040A88,func_80040B88,func_800419EC,func_8004827C,func_800499BC,func_8004A8D8,func_8004AC18,func_8004D0C8,func_8004D110,func_80050F74,func_80053C6C,func_80053CA4,func_800542AC,func_8005A3E0,func_8005B348,func_8005C818,func_8005C8B8,func_8005C918,func_8005C94C	-	2.67	several passes jointly: _fold_lo_into_accesses+_unfill_via_load_delay+_maybe_unfill_return_delay	no:all-fired	_fold_lo_into_accesses,_unfill_via_load_delay,_maybe_unfill_return_delay	-	-
