# maspsx behaviour	dependent row
_fold_lo_into_accesses	slus/w_8003E188
_fold_lo_into_accesses	slus/w_8004A700
_fold_lo_into_accesses	slus/w_8004A7D8
_fold_selfinc_la	dungeon/func_80093898
_fold_selfinc_la	dungeon/func_800938EC
_fold_selfinc_la	dungeon/func_81811E30
_fold_selfinc_la	dungeon/func_81811E70
_fold_selfinc_la	dungeon/func_81811EC0
_fold_selfinc_la	dungeon/func_81811F54
_fold_selfinc_la	dungeon/func_819B3414
_fold_selfinc_la	slus/konami_runtime_w_8003B7C8
_fold_selfinc_la	slus/w_8004A6C0
_fold_selfinc_la	town/func_800A1480
_fold_selfinc_la	town/func_800A2244
_fold_selfinc_la	town/func_800C3800
_hoist_zero_arg_before_global_clears	slus/w_8005D7BC
_maybe_unfill_return_delay	dungeon/func_8008A31C
_maybe_unfill_return_delay	dungeon/func_8008B4B0
_maybe_unfill_return_delay	dungeon/func_8008EE88
_maybe_unfill_return_delay	dungeon/func_8008F814
_maybe_unfill_return_delay	dungeon/func_80092B48
_maybe_unfill_return_delay	dungeon/func_80094C70
_maybe_unfill_return_delay	dungeon/func_80094DE0
_maybe_unfill_return_delay	dungeon/func_800969CC
_maybe_unfill_return_delay	dungeon/func_800A172C
_maybe_unfill_return_delay	dungeon/func_800A21EC
_maybe_unfill_return_delay	dungeon/func_800A4C0C
_maybe_unfill_return_delay	dungeon/func_800A4DDC
_maybe_unfill_return_delay	dungeon/func_800A5DD8
_maybe_unfill_return_delay	dungeon/func_800AC008
_maybe_unfill_return_delay	dungeon/func_800AC3B0
_maybe_unfill_return_delay	dungeon/func_800B968C
_maybe_unfill_return_delay	dungeon/func_800BB144
_maybe_unfill_return_delay	dungeon/func_800BB400
_maybe_unfill_return_delay	dungeon/func_800BFE94
_maybe_unfill_return_delay	dungeon/func_800C379C
_maybe_unfill_return_delay	dungeon/func_800D1A48
_maybe_unfill_return_delay	dungeon/func_80284BEC
_maybe_unfill_return_delay	dungeon/func_8028A328
_maybe_unfill_return_delay	dungeon/func_8028A5D8
_maybe_unfill_return_delay	dungeon/func_8028B824
_maybe_unfill_return_delay	dungeon/func_80A1F0C4
_maybe_unfill_return_delay	dungeon/func_80A49908
_maybe_unfill_return_delay	dungeon/func_80A71654
_maybe_unfill_return_delay	dungeon/func_80AC5F28
_maybe_unfill_return_delay	dungeon/func_80AEFFF4
_maybe_unfill_return_delay	dungeon/func_80B9769C
_maybe_unfill_return_delay	dungeon/func_80B9913C
_maybe_unfill_return_delay	dungeon/func_80BA9094
_maybe_unfill_return_delay	dungeon/func_80BAF094
_maybe_unfill_return_delay	dungeon/func_80BEE104
_maybe_unfill_return_delay	dungeon/func_80C412B4
_maybe_unfill_return_delay	dungeon/func_80CC266C
_maybe_unfill_return_delay	dungeon/func_80CE8CBC
_maybe_unfill_return_delay	dungeon/func_80CEAF2C
_maybe_unfill_return_delay	dungeon/func_80CEBD74
_maybe_unfill_return_delay	dungeon/func_80D11F60
_maybe_unfill_return_delay	dungeon/func_80D13E4C
_maybe_unfill_return_delay	dungeon/func_80D3C280
_maybe_unfill_return_delay	dungeon/func_80D3CBF8
_maybe_unfill_return_delay	dungeon/func_80D3D3B0
_maybe_unfill_return_delay	dungeon/func_80DE48EC
_maybe_unfill_return_delay	dungeon/func_80E0F7C0
_maybe_unfill_return_delay	dungeon/func_80E3B4CC
_maybe_unfill_return_delay	dungeon/func_80E61EF4
_maybe_unfill_return_delay	dungeon/func_80E65598
_maybe_unfill_return_delay	dungeon/func_80E8B8F4
_maybe_unfill_return_delay	dungeon/func_80E8D490
_maybe_unfill_return_delay	dungeon/func_80E91000
_maybe_unfill_return_delay	dungeon/func_80E9D000
_maybe_unfill_return_delay	dungeon/func_80EA3000
_maybe_unfill_return_delay	dungeon/func_80EAF000
_maybe_unfill_return_delay	dungeon/func_80EE1FB0
_maybe_unfill_return_delay	dungeon/func_80F5F040
_maybe_unfill_return_delay	dungeon/func_80F90E88
_maybe_unfill_return_delay	dungeon/func_80FA5000
_maybe_unfill_return_delay	dungeon/func_810330FC
_maybe_unfill_return_delay	dungeon/func_810860B4
_maybe_unfill_return_delay	dungeon/func_81252D6C
_maybe_unfill_return_delay	dungeon/func_81254460
_maybe_unfill_return_delay	dungeon/func_812AC7A4
_maybe_unfill_return_delay	dungeon/func_812B27A4
