row	base_sha	registered_cfg	trial_cfg	baseline_exact	subs	indels	aligned_total
dungeon/func_800BB400	e1607d2a47635886d1c59a3b86b89c9ec7579ee4a5013d00e0876a2fb9ee2f3e	2.8.1	2.7.2-cdk	True	47	23	70
dungeon/func_8028A5D8	d7d93246673fb2137a1f081f2c0a79e6b25a7f32f146fce375fc6f105d45b1be	2.8.1	2.7.2-cdk	True	71	13	84
dungeon/func_81910A9C	12e2bb53b988ca6f025b80b151b939833d5e1496516e0b8bb8bc849ab0756734	2.8.0-G0 -fno-expensive-optimizations	2.7.2-cdk-G0 -fno-expensive-optimizations	True	120	99	219
dungeon/func_81934928	1e961983032ae15803b777fc7619d47838dcabcb10bd57132d7d1891d10211dd	2.8.1-G0 -fno-cse-follow-jumps	2.7.2-cdk-G0 -fno-cse-follow-jumps	True	30	2	32
town/func_800B7CEC	4c0003340a22d9451a8d22c3bb3c301cd64303a98bb691620082e2de569367fe	2.8.0-G0	2.7.2-cdk-G0	True	7	6	13
dungeon/func_800AC3B0	745d2760eb8a605c576463e5b50dbc49435ae3f42815f1fd31d2ed78aa7acf31	2.8.0	2.7.2-cdk	True	18	8	26
dungeon/func_800D1A48	1f21696c603fbbc23502011bfc26a4f6672bc61bd89d04ab7d144d2dedf3d4d4	2.8.1	2.7.2-cdk	True	63	10	73
dungeon/func_80BAF094	9549d748b6be27c5fbe62bcf576b802cc118f5eb0a7503f19562724069ba0da9	2.8.1-G0	2.7.2-cdk-G0	True	6	10	16
dungeon/func_80C412B4	44c240f79189a9621ace10a3ded3f177428727b76e5cc230489c91bc740eabfb	2.8.1-G0	2.7.2-cdk-G0	True	144	22	166
dungeon/func_80E8D490	8d2f30cf6d7a36c958d070abf1e95a354c48ef9fba05dd693de649dc3b140830	2.8.1-G0	2.7.2-cdk-G0	True	28	13	41
dungeon/func_81875B38	128299b338f1ba3e2d6b199b2b202e4ab4540de04dd259e9a4a6ec8ee919e60e	2.8.1-G0 -fno-schedule-insns	2.7.2-cdk-G0 -fno-schedule-insns	True	20	26	46
dungeon/func_80092B48	1e6306e6f389c6cc7eb8b0dffbd3553a2dd3da467c14d017856d7120e33ad392	2.8.1	2.7.2-cdk	True	47	9	56
dungeon/func_800A21EC	df7a8a58c2d7c17cbb96215bf4ea7849902dafe0470660c836b8cd3fd94f2747	2.8.1	2.7.2-cdk	True	10	4	14
dungeon/func_800A4C0C	658a41da0397789db73abcd219b1bfacb6b8cc22e1f797a60135b381a6bf6542	2.8.0	2.7.2-cdk	True	13	2	15
dungeon/func_800AC008	1251b615e4ac038ec4330470a0ced51369185d4e8ffb538ea9821192c85e9a29	2.8.1-G0	2.7.2-cdk-G0	True	30	3	33
dungeon/func_80BA9094	e662e60079e243b213eec8ac751d63d2536e74b14c6319cd5d8e55f4679868fa	2.8.1-G0	2.7.2-cdk-G0	True	25	6	31
dungeon/func_80CEBD74	65a9ce92df3817f4d6d63120ffafbc193192ee4df6783a81100e1eff0df31240	2.8.1-G0	2.7.2-cdk-G0	True	84	10	94
dungeon/func_80D3CBF8	6c9e8e98e39ef88bb4e48adc048050b15c83478ec7b7af6b6c0f6e0da85512c9	2.8.1-G0	2.7.2-cdk-G0	True	118	2	120
dungeon/func_813231FC	c8c0ed34ef96894865188f59c91172409c667c03ec35371e5456158584952659	2.8.0-G0 -fno-expensive-optimizations	2.7.2-cdk-G0 -fno-expensive-optimizations	True	14	4	18
dungeon/func_8133336C	41f19cb26dd75049250256d2f7e0fcad5ada6e3becb551e89ec7dcd3afbd02ae	2.8.1-G0	2.7.2-cdk-G0	True	135	32	167
dungeon/func_818FF5B8	3e8cdacbcfa356a0710101b761e614d41d1ab3723f5263cf53ba067653e150cf	2.8.1-G0	2.7.2-cdk-G0	True	32	22	54
dungeon/func_8008F814	dbbca08ff70b99b3a6b2c9f701910f4d550782b0aa1595a73f9eea6a595462ab	2.8.1-G0	2.7.2-cdk-G0	True	35	20	55
dungeon/func_80AC5F28	5a39fb810702097bc9eaf4326fb944f8017c8b9deb0c790df04a64951ccd0151	2.8.1-G0	2.7.2-cdk-G0	True	5	4	9
dungeon/func_80D3D3B0	fa841a9340b959ed694ac5deceea992d345c898977cebcff1272d3bd777356af	2.8.1	2.7.2-cdk	True	9	1	10
dungeon/func_80E0F7C0	aabe6c12c8d3802c07131a075375957905c0ea5a0be4428c273050876aef237c	2.8.1-G0	2.7.2-cdk-G0	True	20	3	23
dungeon/func_80E61EF4	9c5da7651bbff84bc9d2b35431495628b74dd678a6015f0aaf663a79d8f3a612	2.8.1-G0	2.7.2-cdk-G0	True	6	4	10
dungeon/func_810860B4	0db0b9e24141e8eed2406a18e8e86a12b9dd833a2034bc6ad0d01078181549a1	2.8.1-G0	2.7.2-cdk-G0	True	70	4	74
town/func_80819B14	ca93ebc21f8eb106dd28247dcf84c651c7423d0edf69d36dd2db73ae726b4bbc	2.8.1-G0	2.7.2-cdk-G0	True	71	5	76
town/func_808B2D90	2a81b37d71861e14e701830af6480f1f901ab45f088436c76852cab2a42511ac	2.8.1 -fno-schedule-insns2	2.7.2-cdk -fno-schedule-insns2	True	10	4	14
dungeon/func_80A1F0C4	ec829364d22c692666e9112c87aeca1d474209e9e92b135a875c6e7a23ec4e4e	2.8.1-G0	2.7.2-cdk-G0	True	2	6	8
dungeon/func_80CC2828	9923115a31c68eb0797693a6588471c8606e190c7f3a4ff5579a42239cba287d	2.8.1-G0	2.7.2-cdk-G0	True	0	4	4
dungeon/func_80D13E4C	50a7754d9387a7d6e73541cf54504ce94fffe5d2b0eb87cce2ddf5f40419c203	2.8.1-G0	2.7.2-cdk-G0	True	8	0	8
dungeon/func_80E3B4CC	4cad1a6d8be179c50decd4d1b59e43e47d67faf041c732fe50e9a9e7b6e2f5d2	2.8.1-G0	2.7.2-cdk-G0	True	0	8	8
dungeon/func_80E65598	3d3265d13ae3ba5d8b15073f07293e92b203e2341e8aba5dc6e4dd7b61d999ee	2.8.1-G0	2.7.2-cdk-G0	True	16	12	28
dungeon/func_80E8B8F4	c9886ade88503603a431c84a48f19d4c769e473a5f86f8cbb1a9d79d65f80603	2.8.1-G0	2.7.2-cdk-G0	True	68	0	68
dungeon/func_813274E4	50731d52f2544248affb48411852cbfff272f594a07589e8e4ef948da226cd8e	2.8.1-G0	2.7.2-cdk-G0	True	2	3	5
dungeon/func_813284E4	46a3458dcb0427ab311cc5849b58c11bd73d8233b266c6cc230e1bba649d7881	2.8.1-G0 -fno-cse-skip-blocks	2.7.2-cdk-G0 -fno-cse-skip-blocks	True	93	4	97
dungeon/func_81335190	d6abdde28242915f558e398b33a158d7d6a75a60956a7d07964246a42a91c5f1	2.8.1-G0	2.7.2-cdk-G0	True	36	8	44
dungeon/func_81983138	7549a0af5aacc243ff01acb5ba184403654dca8a1dc324e3a743460a07b9e0db	2.8.1-G0	2.7.2-cdk-G0	True	8	10	18
main/func_80013128	cfdd6f9f142f560f34a7680cb22300caf5959aa55192a05a703a2fe2215d9a0b	2.8.1-G0	2.7.2-cdk-G0	True	5	6	11
