name	value	family	file_offset
snf_false	0	snf_	0x80BFFC
snf_truth	0	snf_	0x80C020
sn_win_sw0	1	sn_	0x80C044
sn_win_sw1	2	sn_	0x80C068
sn_win_sw2	3	sn_	0x80C08C
sn_win_sw3	4	sn_	0x80C0B0
sn_win_sw4	5	sn_	0x80C0D4
sn_win_sw5	6	sn_	0x80C0F8
sn_win_sw6	7	sn_	0x80C11C
sn_win_sw7	8	sn_	0x80C140
sn_dungeon_exit_dead	9	sn_	0x80C164
sn_plt_pool_clothes	10	sn_	0x80C188
sn_open_kikikaesita01	11	sn_	0x80C1AC
F_get_bike	12	F_	0x80C1D0
F_get_bike_b	13	F_	0x80C1F4
sn_open_wake_up_end	14	sn_	0x80C218
sn_open_yoda_out00	15	sn_	0x80C23C
sn_open_niko_mam_talk_end	16	sn_	0x80C260
sn_open_sekkyo_ready	17	sn_	0x80C284
sn_open_sekkyo_touch	18	sn_	0x80C2A8
sn_open_sekkyo_end	19	sn_	0x80C2CC
sn_open_end	20	sn_	0x80C2F0
sn_mam_pan_give	21	sn_	0x80C314
sn_angel_end	22	sn_	0x80C338
mam_first_01_talk	23	mam_	0x80C35C
mam_first_02_talk	24	mam_	0x80C380
mam_first_03_talk	25	mam_	0x80C3A4
mam_first_04_talk	26	mam_	0x80C3C8
mam_first_07_talk	27	mam_	0x80C3EC
mam_first_08_talk	28	mam_	0x80C410
mam_first_220_talk	29	mam_	0x80C434
sn_minigame_start_fg	30	sn_	0x80C458
fg_ost_demo_home_00_end	31	fg_	0x80C47C
fg_ost_demo_home_01_end	32	fg_	0x80C4A0
fg_ost_demo_home_02_end	33	fg_	0x80C4C4
fg_ost_demo_home_03_end	34	fg_	0x80C4E8
fg_ost_demo_home_04_end	35	fg_	0x80C50C
Fc_home0	36	Fc_	0x80C530
F_home0	37	F_	0x80C554
Fr_home0_play	38	Fr_	0x80C578
Ft_home0_play	39	Ft_	0x80C59C
Fr_home0_rees	40	Fr_	0x80C5C0
Ft_home0_rees	41	Ft_	0x80C5E4
Fr_home0_wedy	42	Fr_	0x80C608
Ft_home0_wedy	43	Ft_	0x80C62C
Fr_home0_niko	44	Fr_	0x80C650
Ft_home0_niko	45	Ft_	0x80C674
Fr_home0_yoda	46	Fr_	0x80C698
Ft_home0_yoda	47	Ft_	0x80C6BC
Fr_home0_scene00	48	Fr_	0x80C6E0
Ft_home0_event	49	Ft_	0x80C704
Fc_playland	50	Fc_	0x80C728
F_playland	51	F_	0x80C74C
Fr_playland_setumeiin	52	Fr_	0x80C770
Ft_playland_setumeiin	53	Ft_	0x80C794
Fr_playland_scene00	54	Fr_	0x80C7B8
Ft_playland_event	55	Ft_	0x80C7DC
Fc_playland2	56	Fc_	0x80C800
F_playland2	57	F_	0x80C824
Fr_playland2_setumeiin	58	Fr_	0x80C848
Ft_playland2_setumeiin	59	Ft_	0x80C86C
Fr_playland2_scene00	60	Fr_	0x80C890
Ft_playland2_event	61	Ft_	0x80C8B4
F_act_player	62	F_	0x80C8D8
F_act_mascot	63	F_	0x80C8FC
F_act_gy	64	F_	0x80C920
F_act_rees	65	F_	0x80C944
F_act_wedy	66	F_	0x80C968
F_act_gosh	67	F_	0x80C98C
F_act_selfy	68	F_	0x80C9B0
F_act_paty	69	F_	0x80C9D4
F_act_far	70	F_	0x80C9F8
F_act_mia	71	F_	0x80CA1C
F_act_niko	72	F_	0x80CA40
F_act_vivian	73	F_	0x80CA64
F_act_cheril	74	F_	0x80CA88
F_act_pen	75	F_	0x80CAAC
F_act_fon	76	F_	0x80CAD0
F_act_bary	77	F_	0x80CAF4
F_act_veldo	78	F_	0x80CB18
F_act_okami	79	F_	0x80CB3C
F_act_brten	80	F_	0x80CB60
F_act_wata	81	F_	0x80CB84
F_act_silver	82	F_	0x80CBA8
F_act_yoda	83	F_	0x80CBCC
F_act_hal	84	F_	0x80CBF0
F_act_tonka	85	F_	0x80CC14
F_act_hush	86	F_	0x80CC38
F_act_nerdia	87	F_	0x80CC5C
F_act_koppe	88	F_	0x80CC80
F_act_nikotiti	89	F_	0x80CCA4
F_act_angel	90	F_	0x80CCC8
F_act_ethrk	91	F_	0x80CCEC
F_act_nouhuko	92	F_	0x80CD10
F_act_ett	93	F_	0x80CD34
F_act_romi	94	F_	0x80CD58
F_act_sinn	95	F_	0x80CD7C
F_act_dai	96	F_	0x80CDA0
F_act_nako	97	F_	0x80CDC4
F_act_serohiki	98	F_	0x80CDE8
F_act_mamonoya	99	F_	0x80CE0C
F_act_mie	100	F_	0x80CE30
F_act_kei	101	F_	0x80CE54
F_act_kimani	102	F_	0x80CE78
F_act_kimotouto	103	F_	0x80CE9C
F_act_setumeiin	104	F_	0x80CEC0
F_act_der	105	F_	0x80CEE4
F_act_obasan	106	F_	0x80CF08
F_act_ozisan	107	F_	0x80CF2C
F_act_gigi	108	F_	0x80CF50
F_act_baba	109	F_	0x80CF74
F_act_bet	110	F_	0x80CF98
F_act_kicca	111	F_	0x80CFBC
F_act_bany	112	F_	0x80CFE0
F_act_hunter1	113	F_	0x80D004
F_act_hunter2	114	F_	0x80D028
F_act_hunter3	115	F_	0x80D04C
F_act_hunter4	116	F_	0x80D070
F_act_hunter5	117	F_	0x80D094
F_act_aniki	118	F_	0x80D0B8
F_act_otouto	119	F_	0x80D0DC
F_act_miru	120	F_	0x80D100
F_act_kiku	121	F_	0x80D124
F_act_narder	122	F_	0x80D148
F_act_oyaji	123	F_	0x80D16C
F_act_kyaku	124	F_	0x80D190
F_act_ran	125	F_	0x80D1B4
F_act_sun	126	F_	0x80D1D8
F_act_min	127	F_	0x80D1FC
F_act_inu	128	F_	0x80D220
F_act_neko	129	F_	0x80D244
F_act_ayasii	130	F_	0x80D268
F_act_odori1	131	F_	0x80D28C
F_act_odori2	132	F_	0x80D2B0
F_act_odori3	133	F_	0x80D2D4
F_act_odori4	134	F_	0x80D2F8
F_act_obasan2	135	F_	0x80D31C
F_act_uma1	136	F_	0x80D340
F_act_uma2	137	F_	0x80D364
F_act_uma3	138	F_	0x80D388
F_act_uma4	139	F_	0x80D3AC
Fc_koya0	140	Fc_	0x80D3D0
F_koya0	141	F_	0x80D3F4
Fr_koya0_player	142	Fr_	0x80D418
Ft_koya0_player	143	Ft_	0x80D43C
Fr_koya0_scene00	144	Fr_	0x80D460
Ft_koya0_event	145	Ft_	0x80D484
F_sb01s001_niko_wake_up_end	146	F_	0x80D4A8
Fost_sb01s001_event_wake_up_end	147	Fost_	0x80D4CC
Ft_home0_001_event	148	Ft_	0x80D4F0
F_wata_mizu_medaru	149	F_	0x80D514
F_selfy_magic_trg	150	F_	0x80D538
F_gy_mon_sw	151	F_	0x80D55C
F_bookshelf_fall	152	F_	0x80D580
F_viv_engei_ok	153	F_	0x80D5A4
F_sakaba_close	154	F_	0x80D5C8
F_quest_no_virgin	155	F_	0x80D5EC
F_player_mizugi_old	156	F_	0x80D610
F_ie_huusya_no_sasoi_once	157	F_	0x80D634
F_ie_pool_no_sasoi_once	158	F_	0x80D658
Ft_home01_rees_once	159	Ft_	0x80D67C
F_tw_rain_del	160	F_	0x80D6A0
F_end_ending	161	F_	0x80D6C4
F_end_ending_step0	162	F_	0x80D6E8
F_t_attack_enable	163	F_	0x80D70C
F_minigame_tyu	164	F_	0x80D730
F_10kinko_talk	165	F_	0x80D754
F_30kinko_talk	166	F_	0x80D778
F_60kinko_talk	167	F_	0x80D79C
F_show970906_tmp	168	F_	0x80D7C0
F_show970906_tmp2	169	F_	0x80D7E4
F_guy_sword_pickup	170	F_	0x80D808
F_okami_talk_00	171	F_	0x80D82C
F_ultima_egg_pickup	172	F_	0x80D850
F_ie_otera_no_sasoi_once	173	F_	0x80D874
SHOW970906_VER	174	SHOW970906_	0x80D898
SB01_INIT_STEP	0	SB01_	0x80D8BC
